"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio","","","","","","","","","",""
"Añasco","11","Total Municipio Segundo Trimestre 2020","","263","  4,517 ","  33,972,081 ","  7,520 ","","","","","","","","","",""
"Añasco","11","Agricultura, Bosque, Pesca y Caza        ","11","11","  27 ","  42,260 ","  1,585 ","","","","","","","","","",""
"Añasco","11","Mineria                                  ","21","2","*","*","*","","","","","","","","","",""
"Añasco","11","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","",""
"Añasco","11","Construcción                             ","23","10","  27 ","  124,085 ","  4,653 ","","","","","","","","","",""
"Añasco","11","Manufactura                              ","31-33","28","  2,342 ","  23,963,256 ","  10,233 ","","","","","","","","","",""
"Añasco","11","Alimentos                                ","311","10","  39 ","  75,078 ","  1,942 ","","","","","","","","","",""
"Añasco","11","Productos de Tabaco y Bebidas            ","312","0","0","0","0","","","","","","","","","",""
"Añasco","11","Textiles                                 ","313","0","0","0","0","","","","","","","","","",""
"Añasco","11","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","",""
"Añasco","11","Ropa                                     ","315","0","0","0","0","","","","","","","","","",""
"Añasco","11","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","",""
"Añasco","11","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","",""
"Añasco","11","Papel                                    ","322","0","0","0","0","","","","","","","","","",""
"Añasco","11","Imprenta e Industrias Relacionadas       ","323","2","*","*","*","","","","","","","","","",""
"Añasco","11","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","",""
"Añasco","11","Productos Químicos                       ","325","0","0","0","0","","","","","","","","","",""
"Añasco","11","Productos de Goma y Plásticos            ","326","1","*","*","*","","","","","","","","","",""
"Añasco","11","Productos Minerales no Metálicos         ","327","0","0","0","0","","","","","","","","","",""
"Añasco","11","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","",""
"Añasco","11","Productos de Metal                       ","332","6","*","*","*","","","","","","","","","",""
"Añasco","11","Maquinaria                               ","333","0","0","0","0","","","","","","","","","",""
"Añasco","11","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","",""
"Añasco","11","Equipo y Aparatos Eléctricos             ","335","1","*","*","*","","","","","","","","","",""
"Añasco","11","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","",""
"Añasco","11","Muebles y Productos Relacionados         ","337","1","*","*","*","","","","","","","","","",""
"Añasco","11","Industrias Manufactureras Misceláneas    ","339","7","  2,037 ","  22,122,654 ","  10,860 ","","","","","","","","","",""
"Añasco","11","Comercio al por Mayor                    ","42","10","  89 ","  609,447 ","  6,873 ","","","","","","","","","",""
"Añasco","11","Comercio al Detal                        ","44-45","46","  436 ","  1,712,067 ","  3,924 ","","","","","","","","","",""
"Añasco","11","Transportación y Almacenamiento           ","48-49","4","  27 ","  331,411 ","  12,125 ","","","","","","","","","",""
"Añasco","11","Información                              ","51","4","  18 ","  153,377 ","  8,521 ","","","","","","","","","",""
"Añasco","11","Finanzas y Seguros                       ","52","5","  78 ","  684,833 ","  8,780 ","","","","","","","","","",""
"Añasco","11","Bienes Raíces, Renta o Arrendamiento     ","53","8","  18 ","  76,555 ","  4,253 ","","","","","","","","","",""
"Añasco","11","Servicios Profesionales y Técnicos       ","54","12","  21 ","  271,428 ","  12,925 ","","","","","","","","","",""
"Añasco","11","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","",""
"Añasco","11","Servicios Adm. y Desperdicios Sólidos    ","56","6","  10 ","  40,618 ","  4,062 ","","","","","","","","","",""
"Añasco","11","Servicios Educativos                     ","61","4","  315 ","  1,955,629 ","  6,215 ","","","","","","","","","",""
"Añasco","11","Servicios de Salud y Asistencia Social   ","62","45","  186 ","  695,075 ","  3,730 ","","","","","","","","","",""
"Añasco","11","Arte, Entretenimiento y Recreación       ","71","1","*","*","*","","","","","","","","","",""
"Añasco","11","Alojamiento y Servicios de Alimentos     ","72","32","  312 ","  826,580 ","  2,646 ","","","","","","","","","",""
"Añasco","11","Otros Servicios Excepto Adm. Pública     ","81","22","  36 ","  93,112 ","  2,586 ","","","","","","","","","",""
"Añasco","11","Administracion Pública                   ","92","12","  561 ","  2,334,927 ","  4,162 ","","","","","","","","","",""
"Añasco","11","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","",""
"Arecibo","13","Total Municipio Segundo Trimestre 2020","","1079","  18,690 ","  120,272,896 ","  6,435 ","","","","","","","","","",""
"Arecibo","13","Agricultura, Bosque, Pesca y Caza        ","11","58","  452 ","  1,278,562 ","  2,827 ","","","","","","","","","",""
"Arecibo","13","Mineria                                  ","21","2","*","*","*","","","","","","","","","",""
"Arecibo","13","Electricidad, Agua y Gas                 ","22","3","  501 ","  5,151,344 ","  10,289 ","","","","","","","","","",""
"Arecibo","13","Construcción                             ","23","48","  375 ","  1,692,409 ","  4,513 ","","","","","","","","","",""
"Arecibo","13","Manufactura                              ","31-33","39","  2,646 ","  20,106,491 ","  7,600 ","","","","","","","","","",""
