town_code,naics,establishments,year,town_name,region
3,54,11.0,2013,Aguada,Western
3,54,1.0,2013,Aguada,Western
3,54,1.0,2013,Aguada,Western
3,54,7.0,2013,Aguada,Western
3,54,7.0,2013,Aguada,Western
3,54,7.0,2013,Aguada,Western
3,54,7.0,2013,Aguada,Western
3,54,4.0,2013,Aguada,Western
3,54,4.0,2013,Aguada,Western
3,54,1.0,2013,Aguada,Western
3,54,1.0,2013,Aguada,Western
3,54,2.0,2013,Aguada,Western
3,54,2.0,2013,Aguada,Western
3,54,2.0,2013,Aguada,Western
3,54,2.0,2013,Aguada,Western
3,54,2.0,2013,Aguada,Western
3,54,4.0,2013,Aguada,Western
3,54,1.0,2013,Aguada,Western
3,54,1.0,2013,Aguada,Western
3,54,3.0,2013,Aguada,Western
3,54,3.0,2013,Aguada,Western
3,56,12.0,2013,Aguada,Western
3,56,12.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,56,4.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,56,4.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,1.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,56,2.0,2013,Aguada,Western
3,62,71.0,2013,Aguada,Western
3,62,62.0,2013,Aguada,Western
3,62,32.0,2013,Aguada,Western
3,62,32.0,2013,Aguada,Western
3,62,32.0,2013,Aguada,Western
3,62,8.0,2013,Aguada,Western
3,62,8.0,2013,Aguada,Western
3,62,8.0,2013,Aguada,Western
3,62,10.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,2.0,2013,Aguada,Western
3,62,2.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,6.0,2013,Aguada,Western
3,62,6.0,2013,Aguada,Western
3,62,9.0,2013,Aguada,Western
3,62,9.0,2013,Aguada,Western
3,62,8.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,2.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,5.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,3.0,2013,Aguada,Western
3,62,3.0,2013,Aguada,Western
3,62,3.0,2013,Aguada,Western
3,62,4.0,2013,Aguada,Western
3,62,2.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,1.0,2013,Aguada,Western
3,62,2.0,2013,Aguada,Western
3,62,2.0,2013,Aguada,Western
3,62,2.0,2013,Aguada,Western
3,72,56.0,2013,Aguada,Western
3,72,3.0,2013,Aguada,Western
3,72,3.0,2013,Aguada,Western
3,72,3.0,2013,Aguada,Western
3,72,3.0,2013,Aguada,Western
3,72,53.0,2013,Aguada,Western
3,72,2.0,2013,Aguada,Western
3,72,2.0,2013,Aguada,Western
3,72,2.0,2013,Aguada,Western
3,72,3.0,2013,Aguada,Western
3,72,3.0,2013,Aguada,Western
3,72,3.0,2013,Aguada,Western
3,72,48.0,2013,Aguada,Western
3,72,48.0,2013,Aguada,Western
3,72,13.0,2013,Aguada,Western
3,72,19.0,2013,Aguada,Western
