"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO Total Municipio Tercer Trimestre 2022","Promedio"
"Arroyo","15","Mineria                                  ","21","0","0","0","0"
"Arroyo","15","Electricidad, Agua y Gas                 ","22","0","0","0","0"
"Arroyo","15","Construcción                             ","23","5","26","87965","3383"
"Arroyo","15","Manufactura                              ","31-33","9","*","*","*"
"Arroyo","15","Alimentos                                ","311","1","*","*","*"
"Arroyo","15","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Arroyo","15","Textiles                                 ","313","0","0","0","0"
"Arroyo","15","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Arroyo","15","Ropa                                     ","315","1","*","*","*"
"Arroyo","15","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Arroyo","15","Productos de Madera                      ","321","0","0","0","0"
"Arroyo","15","Papel                                    ","322","0","0","0","0"
"Arroyo","15","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Arroyo","15","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Arroyo","15","Productos Químicos                       ","325","1","*","*","*"
"Arroyo","15","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Arroyo","15","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Arroyo","15","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Arroyo","15","Productos de Metal                       ","332","2","*","*","*"
"Arroyo","15","Maquinaria                               ","333","1","*","*","*"
"Arroyo","15","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Arroyo","15","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Arroyo","15","Equipo de Transportación                 ","336","0","0","0","0"
"Arroyo","15","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Arroyo","15","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Arroyo","15","Comercio al por Mayor                    ","42","0","0","0","0"
"Arroyo","15","Comercio al Detal                        ","44-45","23","480","2208342","4601"
"Arroyo","15","Transportación y Almacenamiento           ","48-49","1","*","*","*"
"Arroyo","15","Información                              ","51","1","*","*","*"
"Arroyo","15","Finanzas y Seguros                       ","52","2","*","*","*"
"Arroyo","15","Bienes Raíces, Renta o Arrendamiento     ","53","6","9","59834","6648"
"Arroyo","15","Servicios Profesionales y Técnicos       ","54","1","*","*","*"
"Arroyo","15","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Arroyo","15","Servicios Adm. y Desperdicios Sólidos    ","56","1","*","*","*"
"Arroyo","15","Servicios Educativos                     ","61","2","286","2558137","8955"
"Arroyo","15","Servicios de Salud y Asistencia Social   ","62","20","223","2275282","10218"
"Arroyo","15","Arte, Entretenimiento y Recreación       ","71","0","0","0","0"
"Arroyo","15","Alojamiento y Servicios de Alimentos     ","72","15","207","792808","3830"
"Arroyo","15","Otros Servicios Excepto Adm. Pública     ","81","6","16","59793","3737"
"Arroyo","15","Administración Pública                   ","92","9","452","2416707","5351"
"Arroyo","15","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Barceloneta","17","Total Municipio Cuarto Trimestre 2022 ","","302","10845","95631272","8818"
"Barceloneta","17","Agricultura, Bosque, Pesca y Caza        ","11","2","*","*","*"
"Barceloneta","17","Mineria                                  ","21","0","0","0","0"
"Barceloneta","17","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Barceloneta","17","Construcción                             ","23","29","515","3965012","7694"
"Barceloneta","17","Manufactura                              ","31-33","22","2875","47030839","16357"
"Barceloneta","17","Alimentos                                ","311","6","*","*","*"
"Barceloneta","17","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Barceloneta","17","Textiles                                 ","313","0","0","0","0"
"Barceloneta","17","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Barceloneta","17","Ropa                                     ","315","0","0","0","0"
"Barceloneta","17","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Barceloneta","17","Productos de Madera                      ","321","0","0","0","0"
"Barceloneta","17","Papel                                    ","322","0","0","0","0"
"Barceloneta","17","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Barceloneta","17","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Barceloneta","17","Productos Químicos                       ","325","7","1766","37276957","21104"
"Barceloneta","17","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Barceloneta","17","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Barceloneta","17","Industrias de Materiales Primarios       ","331","2","*","*","*"
"Barceloneta","17","Productos de Metal                       ","332","2","*","*","*"
"Barceloneta","17","Maquinaria                               ","333","1","*","*","*"
"Barceloneta","17","Computadora y Productos Electrónicos    ","334","1","*","*","*"
"Barceloneta","17","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Barceloneta","17","Equipo de Transportación                 ","336","0","0","0","0"
